,chi^2,df,Pr(chi^2 >),# of loci in HWE,,,chi^2,df,Pr(chi^2 >),# of loci in HWE,,,Shared loci
Oli064,51.61078238,28,0.004251993,0,,Oli064,93.76870748,66,0.013941118,0,,0,0
Oli74400,27.22222222,15,0.026977062,0,,Oli74400,2.002962963,1,0.156992061,1,,1,0
Oli107,43.86666667,55,0.859539778,1,,Oli107,63.345628,28,0.000149646,0,,1,0
Oli61901,95.01133787,45,1.95E-05,0,,Oli61901,102.6517119,36,2.53E-08,0,,0,0
Oli101,247.7777778,231,0.213808404,1,,Oli101,115.3333333,91,0.043396916,0,,1,0
Oli160,70.49297052,66,0.329870147,1,,Oli160,87.24353741,36,3.84E-06,0,,1,0
Oli84207,78.22494331,55,0.021484712,0,,Oli84207,64.74,36,0.00230134,0,,0,0
Oli119,101.2,105,0.586788495,1,,Oli119,240.2944218,190,0.007853272,0,,1,0
Oli131,1.25,6,0.974343069,1,,Oli131,3.856749311,10,0.953577941,1,,2,1
Oli216,20.91111111,36,0.978915925,1,,Oli216,14.56052723,10,0.148924506,1,,2,1
Oli127,122.7777778,66,2.78E-05,0,,Oli127,156.1983471,120,0.014703745,0,,0,0
Oli076,61.42222222,36,0.005194021,0,,Oli076,74.34166667,45,0.003844124,0,,0,0
Oli053,91.09237083,66,0.022088366,0,,Oli053,69.40891912,45,0.011214479,0,,0,0
Oli156,49.78703704,45,0.288597869,1,,Oli156,76.96055556,91,0.853022385,1,,2,1
Oli105252,5.160493827,6,0.523399707,1,,Oli105252,1.430806179,1,0.231632915,1,,2,1
Oli021,112.5433333,91,0.062467127,0,,Oli021,162.9883787,136,0.057168102,0,,0,0
Oli104572,7.875,10,0.641045358,1,,Oli104572,3.236919459,6,0.778577174,1,,2,1
Oli963,2.908163265,3,0.4060024,1,,Oli963,6.175739645,6,0.403794508,1,,2,1
Oli144609,7.688888889,6,0.261793502,1,,Oli144609,4.166666667,3,0.244020445,1,,2,1
Oli76146,14.05996055,6,0.028973496,0,,Oli76146,1.102111811,3,0.776564309,1,,1,0
Oli141,21.61734694,21,0.421840275,1,,Oli141,27.6695858,45,0.980357206,1,,2,1
Oli103483,20.0617284,6,0.002700192,0,,Oli103483,0.010864645,1,0.916983965,1,,1,0
,,,,12,,,,,,11,,,8