14,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pop,Oli74400,,Oli107,,Oli119,,Oli131,,Oli216,,Oli156,,Oli105252,,Oli021,,Oli104572,,Oli963,,Oli144609,,Oli76146,,Oli141,,Oli103483,
BC-BLX1897,Birch Creek,244,256,147,147,104,114,117,141,163,173,111,119,231,234,231,240,357,372,304,304,272,272,277,283,137,152,267,267
BC-BLX1899,Birch Creek,256,256,147,150,92,94,117,117,163,171,119,129,231,234,222,237,354,369,298,304,269,272,274,274,137,149,267,267
BC-BLX1900,Birch Creek,256,260,147,153,88,90,117,148,163,163,107,123,231,234,201,234,369,381,298,298,269,272,274,274,152,155,267,267
BC-BLX1902,Birch Creek,256,260,147,153,,,,,,,107,123,231,234,213,234,,,304,304,272,272,274,277,146,152,267,267
BC-BLX1903,Birch Creek,256,260,147,150,82,96,117,138,163,179,121,125,231,237,210,216,369,372,304,304,272,272,274,277,,,271,271
BC-BLX1904,Birch Creek,256,256,147,153,82,96,117,138,163,163,109,121,231,237,210,216,,,,,269,269,277,283,137,149,263,267
BC-BLX1907,Birch Creek,256,256,147,147,82,88,117,117,163,191,121,123,228,231,219,237,369,369,304,304,260,269,274,274,146,152,267,267
BC-BLX1909,Birch Creek,256,260,153,153,88,112,117,138,163,185,115,125,234,234,201,243,369,381,304,304,272,272,274,274,146,161,267,267
BC-BLX1910,Birch Creek,252,256,144,153,104,108,117,117,163,173,113,123,231,234,219,225,369,369,304,304,272,272,274,274,137,146,265,267
BC-BLX1912,Birch Creek,256,260,153,153,104,104,117,148,163,163,,,,,,,369,369,304,304,272,272,274,277,137,161,267,267
BC-BLX1914,Birch Creek,256,260,147,153,88,104,117,117,173,173,111,121,234,234,207,234,369,372,304,304,272,272,277,277,137,146,263,267
BC-BLX1917,Birch Creek,256,260,147,153,88,92,117,117,181,181,121,123,231,234,201,222,369,381,304,304,269,269,274,283,137,137,267,267
BC-BLX1918,Birch Creek,256,256,150,153,88,124,117,117,163,175,111,115,231,234,228,234,369,369,298,298,272,275,274,274,137,146,267,267
BC-BLX1920,Birch Creek,264,268,138,153,98,102,117,138,163,163,111,115,231,231,216,219,,,,,272,272,253,283,137,152,267,267
BC-BLX1922,Birch Creek,256,260,150,153,96,102,117,117,163,173,107,111,231,234,216,225,369,369,304,310,272,272,277,277,137,158,267,267
BC-BLX1925,Birch Creek,256,256,141,144,82,94,117,117,163,179,121,127,231,234,213,240,369,372,304,304,272,272,274,274,152,158,267,267
BC-BLX1929,Birch Creek,260,260,144,150,104,112,117,117,163,175,117,123,231,234,207,222,369,369,292,298,269,272,274,274,137,137,267,267
BC-BLX1930,Birch Creek,256,256,138,144,112,116,117,138,163,179,111,121,231,231,207,210,369,381,304,310,272,272,274,277,137,149,267,267
CR-BLX1936,Cub River,256,260,144,159,90,100,117,117,163,187,111,135,231,231,213,216,369,369,304,310,272,272,274,274,152,170,267,267
CR-BLX1937,Cub River,256,260,144,165,82,88,117,135,163,173,107,121,231,234,192,210,369,384,304,310,269,272,274,277,134,137,267,267
CR-BLX1939,Cub River,256,260,144,150,88,88,117,117,163,173,113,115,234,234,213,222,369,381,298,298,272,272,274,274,137,155,267,267
CR-BLX1940,Cub River,256,256,144,144,100,110,117,117,163,173,,,,,,,369,369,304,304,269,272,274,274,137,146,267,267
CR-BLX1941,Cub River,256,256,138,150,92,120,117,138,173,185,111,121,231,231,213,222,369,381,304,304,269,275,274,274,152,152,263,267
CR-BLX1943,Cub River,256,256,156,156,88,92,117,138,163,163,117,139,234,234,219,225,369,369,310,310,269,272,274,283,137,146,267,267
CR-BLX1944,Cub River,256,256,141,150,96,100,138,144,163,163,121,121,234,234,201,228,,,,,,,274,277,137,137,267,267
CR-BLX1947,Cub River,256,256,153,156,82,106,117,117,163,177,109,121,231,234,207,225,369,372,304,304,272,272,277,283,146,152,267,267
CR-BLX1948,Cub River,256,256,144,144,102,108,117,117,163,163,123,141,234,234,234,249,369,372,304,304,269,269,274,283,137,152,267,267
CR-BLX1949,Cub River,256,260,144,144,100,108,117,117,163,163,119,127,231,231,216,216,369,369,304,304,272,272,274,274,137,143,267,267
CR-BLX1950,Cub River,260,260,144,144,94,108,117,138,163,163,121,123,234,234,210,231,369,369,298,304,272,272,274,277,146,167,267,267
CR-BLX1951,Cub River,256,256,150,150,90,104,117,138,163,163,113,123,234,234,210,213,369,381,298,316,269,272,283,283,134,152,267,267
CR-BLX1953,Cub River,260,260,144,147,106,120,117,144,163,163,111,119,234,234,213,237,,,,,,,274,283,146,152,267,267
CR-BLX1955,Cub River,256,260,138,150,100,100,141,141,187,187,121,127,234,234,216,216,372,372,304,304,272,272,274,277,146,146,267,267
CR-BLX1956,Cub River,256,256,144,144,92,98,117,138,163,173,119,121,231,234,213,216,369,372,304,310,272,272,274,274,137,146,267,267
CR-BLX1957,Cub River,256,256,144,144,92,98,117,138,163,173,119,121,234,234,225,231,369,381,304,304,272,272,274,274,152,155,267,267
CR-BLX1958,Cub River,256,260,162,162,92,98,117,138,163,173,117,121,234,234,225,237,381,381,298,304,272,272,274,283,149,155,267,267
CR-BLX1959,Cub River,256,260,147,147,106,114,117,117,163,163,111,125,231,231,207,237,369,372,304,304,272,275,274,274,137,143,267,267
CR-BLX1962,Cub River,256,256,147,150,116,122,117,117,173,183,117,127,231,234,216,240,369,372,298,304,272,272,274,283,149,152,267,267
CR-BLX1963,Cub River,256,260,147,150,88,110,117,138,163,173,113,121,234,234,213,237,369,369,298,304,272,272,274,283,131,137,267,267
CR-BLX1964,Cub River,256,256,144,150,102,118,117,117,163,163,127,133,231,234,213,255,369,369,298,304,272,272,277,283,146,146,267,267
CR-BLX1970,Cub River,256,260,144,147,98,102,117,117,173,173,121,127,234,234,210,213,369,372,304,304,269,275,274,274,146,155,267,267
CR-BLX1971,Cub River,256,256,144,144,112,130,117,117,163,173,119,119,231,234,204,234,369,369,298,304,272,272,274,274,155,155,267,267